"REF_DATE","GEO","DGUID","Level of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007/2008","Alberta","2016A000248","International undergraduate","Dollars","81","units ","0","v96320890","10.3","13309","","","","0"
"2007/2008","Alberta","2016A000248","International graduate","Dollars","81","units ","0","v96320891","10.4","11264","","","","0"
"2007/2008","British Columbia","2016A000259","Canadian undergraduate","Dollars","81","units ","0","v96320892","11.1","4922","","","","0"
"2007/2008","British Columbia","2016A000259","Canadian graduate","Dollars","81","units ","0","v96320893","11.2","6431","","","","0"
"2007/2008","British Columbia","2016A000259","International undergraduate","Dollars","81","units ","0","v96320894","11.3","16463","","","","0"
"2007/2008","British Columbia","2016A000259","International graduate","Dollars","81","units ","0","v96320895","11.4","13876","","","","0"
"2008/2009","Canada","2016A000011124","Canadian undergraduate","Dollars","81","units ","0","v96320852","1.1","4747","","","","0"
"2008/2009","Canada","2016A000011124","Canadian graduate","Dollars","81","units ","0","v96320853","1.2","5737","","","","0"
"2008/2009","Canada","2016A000011124","International undergraduate","Dollars","81","units ","0","v96320854","1.3","14630","","","","0"
"2008/2009","Canada","2016A000011124","International graduate","Dollars","81","units ","0","v96320855","1.4","12337","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Dollars","81","units ","0","v96320856","2.1","2619","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Canadian graduate","Dollars","81","units ","0","v96320857","2.2","2443","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","International undergraduate","Dollars","81","units ","0","v96320858","2.3","9322","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","International graduate","Dollars","81","units ","0","v96320859","2.4","2785","","","","0"
"2008/2009","Prince Edward Island","2016A000211","Canadian undergraduate","Dollars","81","units ","0","v96320860","3.1","4530","","","","0"
"2008/2009","Prince Edward Island","2016A000211","Canadian graduate","Dollars","81","units ","0","v96320861","3.2","2665","","","","0"
"2008/2009","Prince Edward Island","2016A000211","International undergraduate","Dollars","81","units ","0","v96320862","3.3","8940","","","","0"
"2008/2009","Prince Edward Island","2016A000211","International graduate","Dollars","81","units ","0","v96320863","3.4","6148","","","","0"
"2008/2009","Nova Scotia","2016A000212","Canadian undergraduate","Dollars","81","units ","0","v96320864","4.1","5877","","","","0"
"2008/2009","Nova Scotia","2016A000212","Canadian graduate","Dollars","81","units ","0","v96320865","4.2","7734","","","","0"
"2008/2009","Nova Scotia","2016A000212","International undergraduate","Dollars","81","units ","0","v96320866","4.3","12405","","","","0"
"2008/2009","Nova Scotia","2016A000212","International graduate","Dollars","81","units ","0","v96320867","4.4","14493","","","","0"
"2008/2009","New Brunswick","2016A000213","Canadian undergraduate","Dollars","81","units ","0","v96320868","5.1","5479","","","","0"
"2008/2009","New Brunswick","2016A000213","Canadian graduate","Dollars","81","units ","0","v96320869","5.2","5070","","","","0"
"2008/2009","New Brunswick","2016A000213","International undergraduate","Dollars","81","units ","0","v96320870","5.3","10973","","","","0"
"2008/2009","New Brunswick","2016A000213","International graduate","Dollars","81","units ","0","v96320871","5.4","8960","","","","0"
"2008/2009","Quebec","2016A000224","Canadian undergraduate","Dollars","81","units ","0","v96320872","6.1","2180","","","","0"
